,7_corr,7_pval,7_qval,7_ci_low,7_ci_high,2_corr,2_pval,2_qval,2_ci_low,2_ci_high,0_corr,0_pval,0_qval,0_ci_low,0_ci_high,3_corr,3_pval,3_qval,3_ci_low,3_ci_high
DLX5,0.7442932741423173,0.0,0.0,0.7330646301341616,0.7551163260506958,-0.017674556572887665,0.16100972065679142,0.1907698112047292,-0.042367795699578076,0.007040262467820564,-0.28281013343200945,1.3318996420937456e-117,6.2677630216176265e-117,-0.30538760548313326,-0.2599148645979863,-0.23494712543353574,2.2604684053275478e-80,2.17352731281495e-79,-0.258160004591453,-0.21146312638457357
HAND1,0.6915717407518928,0.0,0.0,0.6784547502772768,0.704247927279454,-0.051080694786309506,5.0334198722284494e-05,7.523796520520851e-05,-0.07569688720266633,-0.02640227812719122,-0.23998690401242165,6.511805314285796e-84,2.292889195171055e-83,-0.2631381088575175,-0.21655946475357488,-0.1957192416157948,1.0558193302712117e-55,6.398905031946737e-55,-0.21936998873902605,-0.17183860592667713
DLX6,0.6812540615974523,0.0,0.0,0.6677844527735116,0.6942776579476504,-0.0181277099369259,0.1505393822557301,0.1792135503044406,-0.04282027192557845,0.006586984888573322,-0.26185743067935124,2.6856125033456406e-100,1.0807293776038795e-99,-0.2847267212888476,-0.23869024012667206,-0.20943687497755625,9.301097199996048e-64,6.643640857140034e-63,-0.23294301074411777,-0.18568615899046653
CLDN10,0.6705404520688664,0.0,0.0,0.6567105489232004,0.6839194968514389,0.12945011326958558,5.551143947767954e-25,1.2120401632681123e-24,0.10507449600347153,0.15367027564620087,-0.3911299084182314,2.1734884634400154e-235,2.3122217696170376e-234,-0.41186081091753024,-0.36999434550557414,-0.26510606351758376,7.094193012124111e-103,1.0134561445891585e-101,-0.2879315011810838,-0.24197958412979495
ISL1,0.6558757035106971,0.0,0.0,0.6415622936509021,0.6697325348193642,-0.07283768210287818,7.206078767741898e-09,1.2193026679766326e-08,-0.09737415793280768,-0.04821271832856773,-0.19843552343222062,2.9949028624746825e-57,8.239072524001878e-57,-0.222058362604616,-0.17457986452471702,-0.18301990667984666,8.87981521925742e-49,4.76129502373052e-48,-0.206796364336278,-0.1590274023761473
AMER2,0.6522439184268144,0.0,0.0,0.6378124901480561,0.6662175121526023,-0.04267780306710198,0.0007084838891619765,0.001009236309347545,-0.06731855010451228,-0.01798502677726751,-0.22387054695548442,6.817420950656547e-73,2.1885781543038674e-72,-0.247214642355334,-0.20026672479969182,-0.19433804848217642,6.329127610211809e-55,3.7450459232022536e-54,-0.21800284867149808,-0.1704448542530184
TFAP2A,0.6521427463234278,0.0,0.0,0.6377080401519545,0.6661195838574145,0.19624805959101801,5.299193087022326e-56,1.6482715667254513e-55,0.17237225750496463,0.21989340162427845,-0.42872855257068787,3.1775767489451855e-289,4.352844861568747e-288,-0.44868662771565176,-0.4083430521590424,-0.30157975981787444,1.6824662839198017e-134,3.8677385837236825e-133,-0.32387778466992617,-0.2789468846548546
WNT6,0.6218400871882178,0.0,0.0,0.6064474716747983,0.6367667931743586,-0.06648287371755048,1.294136903641914e-07,2.1094326057732908e-07,-0.09104503918759461,-0.041839868691043544,-0.18476619942849354,1.0619992901664766e-49,2.726570706460787e-49,-0.2085258364191405,-0.1607885992236304,-0.18033342854955367,2.2321576170131597e-47,1.1656175545760625e-46,-0.20413547278549762,-0.15631829406021866
TFAP2C,0.5620916494587298,0.0,0.0,0.5449493969144317,0.5787642053533557,0.24113906860374298,9.819577552144459e-85,4.160837945823924e-84,0.217724739056277,0.2642760007215131,-0.42865186314878406,4.16651705369275e-289,5.668730685296258e-288,-0.4486115835360707,-0.40826475954126523,-0.2949067017416406,2.4483199969220776e-128,5.1543578882570056e-127,-0.3173060277041092,-0.2721785017613674
STOM,0.560064894798748,0.0,0.0,0.5428665212843972,0.5767937099040485,0.07843194188541906,4.598974707242885e-10,7.970493426764099e-10,0.05382451996432484,0.10294416060653784,-0.32506440642930184,1.3448784151899265e-157,8.593472301533077e-157,-0.346988821078833,-0.3027849057764104,-0.18394061832649747,2.9062062203617998e-49,1.583763607826594e-48,-0.20770822600998126,-0.159955952997167
C11orf96,0.5549933559494149,0.0,0.0,0.5376554781412165,0.5718620950091798,0.06145855607780544,1.062885429470807e-06,1.6965449792032036e-06,0.036802706046536834,0.0860396276275399,-0.2722503465054929,1.1137873438305115e-108,4.917383416470249e-108,-0.2949775462792484,-0.24921526815164088,-0.21137796663882466,6.022010932604807e-65,4.411729620955902e-64,-0.23486290007398775,-0.18764639693954083
HMX1,0.5458466050428404,0.0,0.0,0.5282604722430063,0.5629646197874556,-0.005418176205269035,0.6674511056300194,0.704062347710991,-0.03012588664394486,0.019296151477783557,-0.21976181001998932,3.1900236378168054e-70,9.968823868177517e-70,-0.24315306333255776,-0.1961151077948961,-0.16972655056279698,4.5715194889536665e-42,2.0970272885108563e-41,-0.19362618014267613,-0.1456255950530894
DLX6-AS1,0.4998358491031517,0.0,0.0,0.4810661453410888,0.5181475304350538,0.017511562721959837,0.16490732776093608,0.1950411919112195,-0.007203298513963832,0.042205042930136445,-0.20627957269435518,7.517733275654406e-62,2.1418043520382925e-61,-0.2298198038788578,-0.18249811789015846,-0.17993113036272923,3.6016021092662435e-47,1.8758344319095017e-46,-0.2037369758907926,-0.15591263812321907
TFAP2B,0.49783607484959275,0.0,0.0,0.479017393241207,0.5161973537978103,-0.014257390602929685,0.2582051121138418,0.2962766633549533,-0.03895540971015785,0.01045803809668957,-0.1838571855964047,3.216560380619081e-49,8.215990755093437e-49,-0.20762559694563065,-0.15987180816868277,-0.15931666089363644,3.4603489795028096e-37,1.4631496742083762e-36,-0.18330672774356088,-0.1351369499875357
NAV2,0.4801604797266824,0.0,0.0,0.4609178032729651,0.49895185917681534,0.263506545356574,1.3336321228148567e-101,6.910010999040708e-101,0.24035995471891552,0.28635363863247193,-0.43025254177734346,1.4342199495156102e-291,2.0059020272945598e-290,-0.4501778639334471,-0.4098989626336036,-0.26279039556520145,4.9262656319948596e-101,6.794849147579117e-100,-0.285647144509508,-0.23963484231635793
DLX2,0.47488387573306773,0.0,0.0,0.45551772730396384,0.4938007647245133,-0.07365443057538046,4.88141832901068e-09,8.28060785243542e-09,-0.0981874607590751,-0.04903193096486154,-0.12904799630812924,7.778185988540478e-25,1.6120592722363686e-24,-0.15327095912882763,-0.10467004512125537,-0.11976972327068247,1.3852301194128054e-21,4.0802065372983956e-21,-0.14405510474775016,-0.09534015925608771
